,answers_id,score,comments
0,7b2bb0fc0d384e298cffa6afde9cf6ab,1,3
1,fa30fe4c016043e382c441a7ef743bfb,0,1
2,683b200ad5014e84a441db677f990d75,3,1
3,6c1dcd9ffb2f49d6be05f06e765d30cd,3,1
4,21910e89165047259510026f5d86368e,8,4
5,38632ab7a7314fc38526d6ced7b42468,4,1
6,387c8b77a2cb4c13b79296d201a6dacc,4,1
7,53514a947a5c47f6bea05153fd6e78ab,9,2
8,47554a26bd48497da0f91e3728ef6675,1,1
9,a3316047dbf54368b7da0ae07ada7484,2,1
10,e392fd43c3d04b65be45b1be2441834e,9,5
11,f6b853bec98c40539e2e18028c7138ef,2,1
12,206b36b3f3a7454ab8438068a196381d,3,1
13,2f736ed64b354b2d91b9fcf38589f9e7,4,1
14,8ee0c606af4740b8b40195c44a1df51b,7,3
15,1e1cc6a8dbfd4b4983689d1c8317364b,4,1
16,cd241d001bea4300b77a323c96c7062c,3,1
17,398ff3f3bfce48ab922a23b13ff08a9f,0,1
18,9472f02673ef4570a19d40f8d4e7a6eb,2,3
19,94d60cb0ce784925812bdfab21152798,1,1
20,ea0d1620028e49edbce31e248e0a78e3,1,1
21,f96c18f53e594252ba817f6baaf7495d,5,2
22,2f5c0aaec1db45d5b69d1b048cde81f9,3,1
23,c643a5cc6a4f4f02bc91bd663cf33577,30,3
24,e965fa039c164186a93b98fdcfc3b7b4,1,1
25,d6cd63b357e34d0ab61fd45eeb5ef8cb,3,5
26,f70ae9cb66d44c6b8e1c2e5b4163b812,3,1
27,0b4b7391a9ff412c81f33e36ffb52bb2,7,5
28,4c15563eb39a4c2c8ba09daf870ba212,3,1
29,eac0721e8a6c4b89896a8d26e7e85741,14,1
30,dc738e3e7e9d40cfa77ac56f448da3fa,0,1
31,c6a37b7d02674cbdb287ba82faa24a98,6,2
32,8b4e0f31332644ac8b928151de4b0662,3,1
33,69409b8bbf4243ad80eae8e67551efac,0,1
34,b607c0c90131480a9eb88696688f6a7f,3,1
35,f12906528a5f45dabd8503dfd452f899,14,1
36,648f5e941a5445d48a2a4c4f62326f09,6,2
37,b8321456238e45428e0424a638b553c6,5,1
38,ecbacbb08d8540a8961f7404713c046d,3,3
39,4570cb0d84d6478bad46e9b1741e4ec9,22,3
40,56d3b5e02fb4466fa7a8f3a202f32377,2,1
41,dfb6863bc8484624b66eea9560215781,1,1
42,0f5ac5255fba4228929a45e3a1ecfe04,4,3
43,a9f269a8962146c3bf12ae074da2c68c,6,2
44,4bac995c4a5a4df7a8851234798a592e,1,1
45,3f742b92ff6748b58640337f7a008ac9,3,1
46,ed3a870e249840c099bed5f0bdffd3c2,5,3
47,af52ead247f0441b997c44f075ecb5bc,0,1
48,a56fa162e7fb4626bb459a966f30cab2,6,4
49,cc0e387654e942bd9f4a72fda050dade,2,1
50,558f13d2230a4f6190918a917b29a45c,3,1
51,5f1688b499474c2389a3c6a435ed4f29,3,1
52,c8ac501ed357453d859562a0f61dd693,6,1
53,e78bc11b17d847fcb1fb391fbd8ae88a,12,8
54,32be471af7364d1e807a40df173574f3,8,8
55,a00771beeb65469b863b24abbe6bc37c,0,1
56,c74b4d19700f4361a8d0ee78582d3e51,1,2
57,5a1ab3a7033845f2af0215e63767304b,3,1
58,50b6372b3e854d04b8517169c76973aa,1,1
59,e7c915c44afa4bf6abfd37ba9fc72fbd,2,1
60,85ea56d377344ec1aac5312c6e675c69,4,3
61,480f9afc086543bbbfbe1918d60cc1df,2,1
62,c61d10eb935e446caabda80bd05efdf7,6,1
63,2668fd69da2e4691a3fd6de44a024ec5,0,3
64,20af10c44d0f4a0986b9fdbe7d1eddc2,2,1
65,4a15926a8b12470ba89fd959b74710d9,3,1
66,7f3aea0e7e7f416ba2cc7b0ffe8297be,1,1
67,9ba6da4dec704328b750aba9f962a366,2,1
68,880b864feae444d6b3465556e4df1095,1,1
69,27cf07eddfed476789b4411cb65fc77a,5,2
70,f4b052b884df4e058abf457ceb885755,1,1
71,574bd06c5e344a938795c3bbf92d0014,7,1
72,adb9362433df4d9dbe04c8bc436e8534,7,3
73,aaf3ad4278f44929a10b00e4863538b8,11,4
74,c5ea531aa2bf482b93fc07464f6bb19c,5,1
75,de579f9e02154d849993382a8d49600f,6,4
76,6ba2deb7dea94d5badf52ab4b1e40ef2,2,1
77,801b1aba1b5a4cb99e7f9b37b556da8d,3,3
78,cec793502ef04f1e91f7080477756eec,2,1
79,fa4f74804140493a89f06d9b698d6ba5,3,3
80,281c2557f0154dde984707e40100b8b4,19,3
81,0ae472bb9c914780b8adec241f0a140e,3,1
82,d6a5cfaca6b448a090db726df8ae0e77,5,4
83,230a7934fb9549c0b56376467db2a028,2,2
84,c426d099145a46f79b4990f3bf2d5ab2,3,1
85,708fbff6fea94415a3f95a3c51403e34,2,2
86,fae2642b751a4c9692ca204a973c311e,1,1
87,00fcf5db59a54f65b32ce6e0181e2e53,3,1
88,5ad1524b55b644bd8a860bfecdc9e03e,4,1
89,9088783a8b4441aea1e81a88d4d0f04d,1,1
90,e2c8b65b597240dc87ab0e25d61159df,13,5
91,755645a449a849f3834d4ee1cc456f26,4,1
92,d035f9f2fd0a46909525da1499e32afb,1,1
93,c158bd8edc634b51b75c135082bd4bb0,1,1
94,13277979c93a418ba4a8f9b32a21dc8e,2,1
95,e2c7b68fba644849b72280bbd40ca255,5,1
96,b623cd88e429471da5907fafcc1d1a95,1,1
97,e130c93b9cf14de9924416b6b6557510,1,2
98,eaff498420404f73933c62db9ae93308,1,1
99,1f1adb52eeb2455997ab5a21d038d740,1,2
100,ed4101bfdf4c4e3cb7f33b739cd0d496,1,1
101,f12094ffa2fa4263b674fe43a81b7f84,6,4
102,48761c928c3141c2b2a056850ad9d9a0,4,4
103,a30e765d8e804b399879d9f7634045a9,10,5
104,0886c3a822824a4eb404b8f80a04bf2f,8,4
105,282f1ee26e46462ea8a285f62feae376,1,1
106,0254a680f975456b9856248d4b854652,5,2
107,de648e8b351d4db888f4f71bc4c2c380,4,1
108,f227847e08024cb2a6b1025f2766a3d7,4,1
109,594a77ab7fbe4c23aed75717f052859f,5,2
110,fb31be82dc3542aba50a36f154750e1b,4,4
111,dd0b6e0a07cf44b6babd4ba7399d4f2b,3,1
112,324b934ed7204799b320c63273e6f30f,4,2
113,3c1dd8f006b94b4abffc7e9cdd3deae7,6,1
114,3be7f0ad89c244ffb7639dc8aedf7fae,2,1
115,3fef2754c9004a258823db50a333409b,0,1
